 巼 BA100001005dfc 10BA1000005dfc
 釟 BA1000010091df 10BA10000091df
 芭 BA1000010082ad 10BA10000082ad
 哵 BA1000010054f5 10BA10000054f5
 笆 BA100001007b06 10BA1000007b06
 羓 BA100001007f93 10BA1000007f93
 𨊹 BA1000011282b9 11BA10000282b9
 豝 BA100001108c5d 11BA1000008c5d
 𧲧 BA100001127ca7 11BA1000027ca7
 𠵺 BA100001120d7a 11BA1000020d7a
 𩚥 BA1000012296a5 12BA10000296a5
 鈀 BA100001209200 12BA1000009200
 𩡩 BA100001229869 12BA1000029869
 鲃 BA100001209c83 12BA1000009c83
 𢠭 BA10000142282d 14BA100002282d
 𧎱 BA1000016273b1 16BA10000273b1
 犮 BA2000004072ae 04BA20000072ae
 叐 BA2000005053d0 05BA20000053d0
 抜 BA20000070629c 07BA200000629c
 㧊 BA2000007039ca 07BA20000039ca
 𢇷 BA2000008221f7 08BA20000221f7
 妭 BA2000008059ad 08BA20000059ad
 坺 BA20000080577a 08BA200000577a
 拔 BA2000008062d4 08BA20000062d4
 㔜 BA20000090351c 09BA200000351c
 癹 BA200000907679 09BA2000007679
 胈 BA2000009080c8 09BA20000080c8
 𩙥 BA200000929665 09BA2000029665
 炦 BA2000009070a6 09BA20000070a6
 𥎱 BA2000010253b1 10BA20000253b1
 秡 BA2000010079e1 10BA20000079e1
 钹 BA2000010094b9 10BA20000094b9
 茇 BA200001108307 11BA2000008307
 𧺡 BA200001127ea1 11BA2000027ea1
 軷 BA200001208ef7 12BA2000008ef7
 跋 BA200001208dcb 12BA2000008dcb
 𧺺 BA200001227eba 12BA2000027eba
 䟦 BA2000012047e6 12BA20000047e6
 詙 BA200001208a59 12BA2000008a59
 𦳺 BA200001326cfa 13BA2000026cfa
 鈸 BA200001309238 13BA2000009238
 馛 BA20000140999b 14BA200000999b
 菝 BA2000014083dd 14BA20000083dd
 萆 BA200001408406 14BA2000008406
 颰 BA2000014098b0 14BA20000098b0
 𩖽 BA2000014295bd 14BA20000295bd
 魃 BA200001509b43 15BA2000009b43
 𩊤 BA2000015292a4 15BA20000292a4
 墢 BA2000015058a2 15BA20000058a2
 䳊 BA200001604cca 16BA2000004cca
 䳁 BA200001604cc1 16BA2000004cc1
 鼥 BA200001809f25 18BA2000009f25
 㞎 BA30000070378e 07BA300000378e
 把 BA30000070628a 07BA300000628a
 钯 BA3000009094af 09BA30000094af
 耙 BA300001008019 10BA3000008019
 𢃳 BA3000012220f3 12BA30000220f3
 靶 BA300001309776 13BA3000009776
 𢺞 BA300002422e9e 24BA3000022e9e
 弝 BA400000705f1d 07BA4000005f1d
 坝 BA40000070575d 07BA400000575d
 爸 BA400000807238 08BA4000007238
 杷 BA400000806777 08BA4000006777
 𥝧 BA400000925767 09BA4000025767
 罢 BA400001007f62 10BA4000007f62
 𧿏 BA400001027fcf 10BA4000027fcf
 垻 BA4000010057bb 10BA40000057bb
 猈 BA400001107308 11BA4000007308
 𦫙 BA400001126ad9 11BA4000026ad9
 㖠 BA4000011035a0 11BA40000035a0
 𩨜 BA400001329a1c 13BA4000029a1c
 䇑 BA4000013041d1 13BA40000041d1
 鲌 BA400001309c8c 13BA4000009c8c
 鲅 BA400001309c85 13BA4000009c85
 䩗 BA400001304a57 13BA4000004a57
 䎬 BA4000015043ac 15BA40000043ac
 䰾 BA400001504c3e 15BA4000004c3e
 罷 BA400001507f77 15BA4000007f77
 鮊 BA400001609b8a 16BA4000009b8a
 𩃴 BA4000016290f4 16BA40000290f4
 鮁 BA400001609b81 16BA4000009b81
 䩻 BA400001904a7b 19BA4000004a7b
 䱝 BA400001904c5d 19BA4000004c5d
 覇 BA400001908987 19BA4000008987
 䆉 BA400002004189 20BA4000004189
 𩹏 BA400002029e4f 20BA4000029e4f
 䎱 BA4000021043b1 21BA40000043b1
 霸 BA400002109738 21BA4000009738
 㶚 BA400002203d9a 22BA4000003d9a
 䥯 BA40000230496f 23BA400000496f
 壩 BA4000024058e9 24BA40000058e9
 灞 BA40000240705e 24BA400000705e
 𤜕 BA400002424715 24BA4000024715
 欛 BA400002506b1b 25BA4000006b1b
 䃻 BA4000026040fb 26BA40000040fb
 𩽷 BA400003229f77 32BA4000029f77
 𣬶 BA500000823b36 08BA5000023b36
 𣬷 BA500000823b37 08BA5000023b37
 紦 BA500001007d26 10BA5000007d26
 魞 BA500001309b5e 13BA5000009b5e
 㓦 BAI100008034e6 08BAI1000034e6
 𢛞 BAI100011226de 11BAI1000226de
 掰 BAI100012063b0 12BAI1000063b0
 𨃅 BAI100016280c5 16BAI1000280c5
 白 BAI2000050767d 05BAI20000767d
 𦣺 BAI200007268fa 07BAI2000268fa
 𪡈 BAI2000102a848 10BAI20002a848
 㼟 BAI20001003f1f 10BAI200003f1f
 㿟 BAI20001003fdf 10BAI200003fdf
 𥬝 BAI20001125b1d 11BAI200025b1d
 䳆 BAI20001604cc6 16BAI200004cc6
 𠫛 BAI30000520adb 05BAI300020adb
 百 BAI3000060767e 06BAI30000767e
 佰 BAI30000804f70 08BAI300004f70
 柏 BAI300009067cf 09BAI3000067cf
 栢 BAI30001006822 10BAI300006822
 瓸 BAI300011074f8 11BAI3000074f8
 㼣 BAI30001103f23 11BAI300003f23
 捭 BAI3000110636d 11BAI30000636d
 絔 BAI30001207d54 12BAI300007d54
 粨 BAI30001207ca8 12BAI300007ca8
 㗗 BAI300013035d7 13BAI3000035d7
 摆 BAI30001306446 13BAI300006446
 䙓 BAI30001604653 16BAI300004653
 擺 BAI300018064fa 18BAI3000064fa
 矲 BAI300020077f2 20BAI3000077f2
 襬 BAI3000210896c 21BAI30000896c
